Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S100382113,nfl,2014/12/21,$50K Sun NFL Snap (Sun Only),$60k,95.02,,16031,28735,Tournament,2,0,https://www.fanduel.com/entry/AEQKNKRQP,
S100382094,nfl,2014/12/21,$50K Sun NFL Snap (Sun Only),$60k,92.32,,17759,28735,Tournament,2,0,https://www.fanduel.com/entry/AOUOUEKBR,
S100382056,nfl,2014/12/21,$50K Sun NFL Snap (Sun Only),$60k,80.68,,24045,28735,Tournament,2,0,https://www.fanduel.com/entry/BJCXHRUXV,
S99866667,nfl,2014/12/20,$5K Sat NFL Mini Snap #4 (Sat Only),$60k,128.36,,1108,2873,Tournament,2,0,https://www.fanduel.com/entry/CUAFTHJZF,
S96601070,nba,2014/12/16,NBA Salary Cap 60k Tue Dec 16th,$60k,182.60,,100,100,Tournament,1,0,https://www.fanduel.com/entry/EEXXVSNDT,
S90032970,nfl,2014/12/07,$80K Sun NFL Snap #2,$60k,66.26,,44274,45977,Tournament,2,0,https://www.fanduel.com/entry/DVHRJNIMB,
S90032954,nfl,2014/12/07,$80K Sun NFL Snap #2,$60k,66.26,,44274,45977,Tournament,2,0,https://www.fanduel.com/entry/CVQHZHILL,
S90032808,nfl,2014/12/07,$80K Sun NFL Snap #2,$60k,66.26,,44274,45977,Tournament,2,0,https://www.fanduel.com/entry/AOUYJWCKF,
S85206603,nfl,2014/11/30,NFL Head-to-head,$60k,158.38,161,2,2,doubleadub,1,0,https://www.fanduel.com/entry/CUOMNEOGX,
S85206606,nfl,2014/11/30,NFL Head-to-head,$60k,145.94,176.92,2,2,mogizzle,2,0,https://www.fanduel.com/entry/CTMRNVQLF,
S85206608,nfl,2014/11/30,NFL Head-to-head,$60k,117.56,145.76,2,2,matthfx,2,0,https://www.fanduel.com/entry/DWJLWCJYX,
S85206610,nfl,2014/11/30,NFL Head-to-head,$60k,158.38,150.7,1,2,queenskid1432,2,3.60,https://www.fanduel.com/entry/DVHQWTMDF,
S85206587,nfl,2014/11/30,NFL Head-to-head,$60k,117.56,101.42,1,2,skylukewalker,1,1.80,https://www.fanduel.com/entry/DDCYHXWYL,
S85206590,nfl,2014/11/30,NFL Head-to-head,$60k,145.94,166.1,2,2,seantanderson,1,0,https://www.fanduel.com/entry/CWSCLWJYH,
S85206594,nfl,2014/11/30,NFL Head-to-head,$60k,158.38,186.62,2,2,cornholio4,1,0,https://www.fanduel.com/entry/CVQHMNMCP,
S85206596,nfl,2014/11/30,NFL Head-to-head,$60k,117.56,193.92,2,2,dridiot5,1,0,https://www.fanduel.com/entry/CXTXLFHTZ,
S85206600,nfl,2014/11/30,NFL Head-to-head,$60k,145.94,81.2,1,2,moecephus,1,1.80,https://www.fanduel.com/entry/CRJBPDUTV,
S85182612,nfl,2014/11/30,NFL 50/50 League,$60k,145.94,,51,100,Tournament,2,0,https://www.fanduel.com/entry/CMNYSPENB,
